Trans. Date,Post Date,Description,Amount,Category
06/04/2023,06/04/2023,"BANH MI STORY SAN JOSE CA",5.00,"Restaurants"
06/04/2023,06/04/2023,"STARBUCKS STORE 05926 VALLEJO CA216788EF93B2690232",5.45,"Restaurants"
06/05/2023,06/05/2023,"DR MARTENS AIRWAIR USA DRMARTENS.COMOR",102.15,"Merchandise"
06/06/2023,06/06/2023,"SQ *PINEAPPLE KING BAK GOSQ.COM CA0001152921512861222782",28.75,"Merchandise"
06/06/2023,06/06/2023,"SQ *YAMACHAN/MOCHILL SAN FRANCISCOCA0001152921512861847629",15.21,"Restaurants"
06/10/2023,06/10/2023,"INTERNET PAYMENT - THANK YOU",-156.56,"Payments and Credits"
06/10/2023,06/10/2023,"ZG * RENTAPPLICATION 206-516-2265 WAP-18583271",35.00,"Services"
06/12/2023,06/12/2023,"CONTRA COSTA COMM COLLEG 925-229-1000 CA",31.00,"Education"
06/12/2023,06/12/2023,"MINISO DEPOT SUNVALLEY CONCORD CA",28.52,"Merchandise"
06/15/2023,06/15/2023,"ALIEXPRESS LONDON GBR",66.08,"Department Stores"
06/15/2023,06/27/2023,"ALIEXPRESS LONDON GBR",-36.60,"Payments and Credits"
06/17/2023,06/17/2023,"BIG BANG BOBA & CHICKEN FAIRFIELD CAAPPLE PAY ENDING IN 0155",8.02,"Restaurants"
06/17/2023,06/17/2023,"MINISO DEPOT FAIRFIELD FAIRFIELD CAAPPLE PAY ENDING IN 0155",8.66,"Merchandise"
06/18/2023,06/18/2023,"ALIEXPRESS LONDON GBR",6.95,"Department Stores"
06/19/2023,06/19/2023,"COMBO EXPRESS VALLEJO CA",13.62,"Restaurants"
06/20/2023,06/20/2023,"INTERNET PAYMENT - THANK YOU",-94.52,"Payments and Credits"
06/20/2023,06/20/2023,"SHARE TEA VALLEJO CAAPPLE PAY ENDING IN 0155",4.65,"Restaurants"
06/22/2023,06/22/2023,"BATH AND BODY WORKS 3369 CONCORD CAAPPLE PAY ENDING IN 0155",15.11,"Merchandise"
06/22/2023,06/22/2023,"BATH AND BODY WORKS#5541 VALLEJO CAAPPLE PAY ENDING IN 0155",25.56,"Merchandise"
06/22/2023,06/22/2023,"BOBA N ME CONCORD CAAPPLE PAY ENDING IN 0155",7.30,"Restaurants"
06/22/2023,06/22/2023,"KOKO FRIED CHICKEN & HOT CONCORD CAAPPLE PAY ENDING IN 0155",6.79,"Restaurants"
06/29/2023,06/29/2023,"SHARE TEA VALLEJO CAAPPLE PAY ENDING IN 0155",4.67,"Restaurants"
06/29/2023,06/29/2023,"VALLEJO GROCERY OUTLET VALLEJO CA",12.48,"Supermarkets"
06/30/2023,06/30/2023,"INTERNET PAYMENT - THANK YOU",-126.14,"Payments and Credits"
07/03/2023,07/03/2023,"INTERNET PAYMENT - THANK YOU",-17.15,"Payments and Credits"
07/08/2023,07/08/2023,"TACOS JALISCO INC VALLEJO CA",31.98,"Restaurants"
07/10/2023,07/10/2023,"TEMU.COM TEMU.COM MAAPPLE PAY ENDING IN 0155TEMU.COM",41.21,"Department Stores"
07/10/2023,07/12/2023,"MCDONALD'S F6810 VALLEJO CA",10.91,"Restaurants"
07/11/2023,07/12/2023,"GEICO *AUTO 800-841-3000 DC6056575217230711013048",129.61,"Services"
07/11/2023,07/12/2023,"SAFEWAY #0989 VALLEJO CA",9.57,"Supermarkets"
07/16/2023,07/16/2023,"DD DOORDASH FRYMAZING 855-973-1040 CAAPPLE PAY ENDING IN 0155",25.56,"Restaurants"
07/16/2023,07/16/2023,"TARGET.COM * 800-591-3869 MN",65.03,"Merchandise"
